"filename", "language", "JavaScript JSX", "JavaScript", "CSS", "XML", "TypeScript JSX", "TypeScript", "comment", "blank", "total"
"c:\Users\clau_\OneDrive\Escritorio\Frontend pingeso\Pingesofrontend\src\reportWebVitals.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 2, 14
"c:\Users\clau_\OneDrive\Escritorio\Frontend pingeso\Pingesofrontend\src\services\gestion-service.js", "JavaScript", 0, 82, 0, 0, 0, 0, 8, 23, 113
"c:\Users\clau_\OneDrive\Escritorio\Frontend pingeso\Pingesofrontend\src\setupTests.js", "JavaScript", 0, 1, 0, 0, 0, 0, 4, 1, 6
"c:\Users\clau_\OneDrive\Escritorio\Frontend pingeso\Pingesofrontend\src\styles\BodyContent.css", "CSS", 0, 0, 58, 0, 0, 0, 1, 21, 80
"c:\Users\clau_\OneDrive\Escritorio\Frontend pingeso\Pingesofrontend\src\styles\CartBodyContent.css", "CSS", 0, 0, 128, 0, 0, 0, 0, 33, 161
"c:\Users\clau_\OneDrive\Escritorio\Frontend pingeso\Pingesofrontend\src\styles\CartNotification.css", "CSS", 0, 0, 70, 0, 0, 0, 0, 11, 81
"c:\Users\clau_\OneDrive\Escritorio\Frontend pingeso\Pingesofrontend\src\styles\CartPage.css", "CSS", 0, 0, 33, 0, 0, 0, 1, 10, 44
"c:\Users\clau_\OneDrive\Escritorio\Frontend pingeso\Pingesofrontend\src\styles\ConfirmarPago.css", "CSS", 0, 0, 91, 0, 0, 0, 2, 12, 105
"c:\Users\clau_\OneDrive\Escritorio\Frontend pingeso\Pingesofrontend\src\styles\CuponEditView.css", "CSS", 0, 0, 419, 0, 0, 0, 8, 35, 462
"c:\Users\clau_\OneDrive\Escritorio\Frontend pingeso\Pingesofrontend\src\styles\CuponesBodyContent.css", "CSS", 0, 0, 148, 0, 0, 0, 2, 43, 193
"c:\Users\clau_\OneDrive\Escritorio\Frontend pingeso\Pingesofrontend\src\styles\HistorialCompra.css", "CSS", 0, 0, 48, 0, 0, 0, 0, 11, 59
"c:\Users\clau_\OneDrive\Escritorio\Frontend pingeso\Pingesofrontend\src\styles\HomeStyle.css", "CSS", 0, 0, 65, 0, 0, 0, 0, 23, 88
"c:\Users\clau_\OneDrive\Escritorio\Frontend pingeso\Pingesofrontend\src\styles\ImageEditor.css", "CSS", 0, 0, 4, 0, 0, 0, 0, 0, 4
"c:\Users\clau_\OneDrive\Escritorio\Frontend pingeso\Pingesofrontend\src\styles\LoginStyle.css", "CSS", 0, 0, 77, 0, 0, 0, 0, 17, 94
"c:\Users\clau_\OneDrive\Escritorio\Frontend pingeso\Pingesofrontend\src\styles\RegisterStyle.css", "CSS", 0, 0, 80, 0, 0, 0, 0, 18, 98
"c:\Users\clau_\OneDrive\Escritorio\Frontend pingeso\Pingesofrontend\src\views\BodyContent.jsx", "JavaScript JSX", 49, 0, 0, 0, 0, 0, 0, 8, 57
"c:\Users\clau_\OneDrive\Escritorio\Frontend pingeso\Pingesofrontend\src\views\CartBodyContent.jsx", "JavaScript JSX", 220, 0, 0, 0, 0, 0, 18, 45, 283
"c:\Users\clau_\OneDrive\Escritorio\Frontend pingeso\Pingesofrontend\src\views\CartNotification.jsx", "JavaScript JSX", 27, 0, 0, 0, 0, 0, 0, 7, 34
"c:\Users\clau_\OneDrive\Escritorio\Frontend pingeso\Pingesofrontend\src\views\CartPage.jsx", "JavaScript JSX", 35, 0, 0, 0, 0, 0, 0, 9, 44
"c:\Users\clau_\OneDrive\Escritorio\Frontend pingeso\Pingesofrontend\src\views\ConfirmarPago.jsx", "JavaScript JSX", 278, 0, 0, 0, 0, 0, 14, 43, 335
"c:\Users\clau_\OneDrive\Escritorio\Frontend pingeso\Pingesofrontend\src\views\CuponEditView.jsx", "JavaScript JSX", 808, 0, 0, 0, 0, 0, 168, 233, 1209
"c:\Users\clau_\OneDrive\Escritorio\Frontend pingeso\Pingesofrontend\src\views\CuponReEditView.jsx", "JavaScript JSX", 541, 0, 0, 0, 0, 0, 99, 136, 776
"c:\Users\clau_\OneDrive\Escritorio\Frontend pingeso\Pingesofrontend\src\views\CuponesBodyContent.jsx", "JavaScript JSX", 96, 0, 0, 0, 0, 0, 2, 11, 109
"c:\Users\clau_\OneDrive\Escritorio\Frontend pingeso\Pingesofrontend\src\views\CuponesPage.jsx", "JavaScript JSX", 31, 0, 0, 0, 0, 0, 0, 11, 42
"c:\Users\clau_\OneDrive\Escritorio\Frontend pingeso\Pingesofrontend\src\views\HistorialCompra.jsx", "JavaScript JSX", 145, 0, 0, 0, 0, 0, 4, 14, 163
"c:\Users\clau_\OneDrive\Escritorio\Frontend pingeso\Pingesofrontend\src\views\HomePage.jsx", "JavaScript JSX", 31, 0, 0, 0, 0, 0, 1, 7, 39
"c:\Users\clau_\OneDrive\Escritorio\Frontend pingeso\Pingesofrontend\src\views\ImageEditor.jsx", "JavaScript JSX", 7, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\clau_\OneDrive\Escritorio\Frontend pingeso\Pingesofrontend\src\views\LoginPage.jsx", "JavaScript JSX", 51, 0, 0, 0, 0, 0, 0, 9, 60
"c:\Users\clau_\OneDrive\Escritorio\Frontend pingeso\Pingesofrontend\src\views\MenuPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\clau_\OneDrive\Escritorio\Frontend pingeso\Pingesofrontend\src\views\RegisterPage.jsx", "JavaScript JSX", 116, 0, 0, 0, 0, 0, 2, 12, 130
"Total", "-", 3013, 158, 1977, 70, 150, 9, 391, 1121, 6889
